X1,X2,dist,Indiv_1_Pop,Indiv_2_Pop,Type_of_Relationship
a550962-4381376-121220-857_E09.CEL,a550962-4381376-121220-857_O03.CEL,0.06514013,Curacao,Curacao,parent x CUxCU
a550962-4381376-121220-857_E09.CEL,a550962-4381376-121220-857_A05.CEL,0.063388505,Curacao,Curacao,parent x CUxCU
a550962-4381376-121220-857_E09.CEL,a550962-4381376-121220-857_C05.CEL,0.066739439,Curacao,Curacao,parent x CUxCU
a550962-4381376-121220-857_E09.CEL,a550962-4381376-121220-857_G05.CEL,0.063058489,Curacao,Curacao,parent x CUxCU
a550962-4381376-121220-857_E09.CEL,a550962-4381376-121220-857_I05.CEL,0.07496446,Curacao,Curacao,parent x CUxCU
a550962-4381376-121220-857_E09.CEL,a550962-4381376-121220-857_K05.CEL,0.065495532,Curacao,Curacao,parent x CUxCU
a550962-4381376-121220-857_E09.CEL,a550962-4381376-121220-857_M05.CEL,0.067627945,Curacao,Curacao,parent x CUxCU
a550962-4381376-121220-857_E09.CEL,a550962-4381376-121220-857_O05.CEL,0.062956946,Curacao,Curacao,parent x CUxCU
a550962-4381376-121220-857_E09.CEL,a550962-4381376-121220-857_A07.CEL,0.067247157,Curacao,Curacao,parent x CUxCU
a550962-4381376-121220-857_E09.CEL,a550962-4381376-121220-857_C07.CEL,0.061789196,Curacao,Curacao,parent x CUxCU
a550962-4381376-121220-857_E09.CEL,a550962-4381376-121220-857_E07.CEL,0.0648355,Curacao,Curacao,parent x CUxCU
a550962-4381376-121220-857_E09.CEL,a550962-4381376-121220-857_G07.CEL,0.069049553,Curacao,Curacao,parent x CUxCU
a550962-4381376-121220-857_E09.CEL,a550962-4381376-121220-857_K07.CEL,0.066967912,Curacao,Curacao,parent x CUxCU
a550962-4381376-121220-857_A09.CEL,a550962-4381376-121220-857_O03.CEL,0.065292445,Curacao,Curacao,parent x CUxCU
a550962-4381376-121220-857_A09.CEL,a550962-4381376-121220-857_A05.CEL,0.063591592,Curacao,Curacao,parent x CUxCU
a550962-4381376-121220-857_A09.CEL,a550962-4381376-121220-857_C05.CEL,0.066866369,Curacao,Curacao,parent x CUxCU
a550962-4381376-121220-857_A09.CEL,a550962-4381376-121220-857_G05.CEL,0.063033103,Curacao,Curacao,parent x CUxCU
a550962-4381376-121220-857_A09.CEL,a550962-4381376-121220-857_I05.CEL,0.075066003,Curacao,Curacao,parent x CUxCU
a550962-4381376-121220-857_A09.CEL,a550962-4381376-121220-857_K05.CEL,0.065597076,Curacao,Curacao,parent x CUxCU
a550962-4381376-121220-857_A09.CEL,a550962-4381376-121220-857_M05.CEL,0.067704102,Curacao,Curacao,parent x CUxCU
a550962-4381376-121220-857_A09.CEL,a550962-4381376-121220-857_O05.CEL,0.062830016,Curacao,Curacao,parent x CUxCU
a550962-4381376-121220-857_A09.CEL,a550962-4381376-121220-857_A07.CEL,0.067526401,Curacao,Curacao,parent x CUxCU
a550962-4381376-121220-857_A09.CEL,a550962-4381376-121220-857_C07.CEL,0.06176381,Curacao,Curacao,parent x CUxCU
a550962-4381376-121220-857_A09.CEL,a550962-4381376-121220-857_E07.CEL,0.064683184,Curacao,Curacao,parent x CUxCU
a550962-4381376-121220-857_A09.CEL,a550962-4381376-121220-857_G07.CEL,0.069176483,Curacao,Curacao,parent x CUxCU
a550962-4381376-121220-857_A09.CEL,a550962-4381376-121220-857_K07.CEL,0.066993298,Curacao,Curacao,parent x CUxCU
a550962-4381376-121220-857_C09.CEL,a550962-4381376-121220-857_E05.CEL,0.068846466,Curacao,Curacao,parent x CUxCU
a550962-4381376-121220-857_C09.CEL,a550962-4381376-121220-857_I07.CEL,0.069531885,Curacao,Curacao,parent x CUxCU
