affy_id,percent_heterozygous_coral_all,plate,species,location
a550962-4368120-060520-255_A03.CEL,12.29,255,A.cervicornis,Puerto Rico
a550962-4368120-060520-255_A05.CEL,12.99,255,A.palmata,Puerto Rico
a550962-4368120-060520-255_A07.CEL,15,255,A.palmata,Puerto Rico
a550962-4368120-060520-255_A09.CEL,13.74,255,A.palmata,Puerto Rico
a550962-4368120-060520-255_A11.CEL,13.96,255,A.palmata,Puerto Rico
a550962-4368120-060520-255_A13.CEL,13.96,255,A.palmata,Puerto Rico
a550962-4368120-060520-255_A15.CEL,15.78,255,A.palmata,Puerto Rico
a550962-4368120-060520-255_A17.CEL,14.38,255,A.cervicornis,Puerto Rico
a550962-4368120-060520-255_A19.CEL,12.77,255,A.palmata,Puerto Rico
a550962-4368120-060520-255_A23.CEL,11.92,255,A.cervicornis,Puerto Rico
a550962-4368120-060520-255_C01.CEL,12.27,255,A.cervicornis,Puerto Rico
a550962-4368120-060520-255_C03.CEL,14.63,255,A.palmata,Puerto Rico
a550962-4368120-060520-255_C05.CEL,14.75,255,A.palmata,Puerto Rico
a550962-4368120-060520-255_C07.CEL,13.96,255,A.palmata,Puerto Rico
a550962-4368120-060520-255_C09.CEL,13.39,255,A.palmata,Puerto Rico
a550962-4368120-060520-255_C11.CEL,13.74,255,A.palmata,Puerto Rico
a550962-4368120-060520-255_C13.CEL,15.36,255,A.palmata,Puerto Rico
a550962-4368120-060520-255_C15.CEL,12.34,255,A.cervicornis,Puerto Rico
a550962-4368120-060520-255_C17.CEL,14.93,255,A.cervicornis,Puerto Rico
a550962-4368120-060520-255_C19.CEL,14.49,255,A.palmata,Puerto Rico
a550962-4368120-060520-255_C21.CEL,13.84,255,A.cervicornis,Puerto Rico
a550962-4368120-060520-255_C23.CEL,12.11,255,A.cervicornis,Puerto Rico
a550962-4368120-060520-255_E01.CEL,12.33,255,A.cervicornis,Puerto Rico
a550962-4368120-060520-255_E03.CEL,13.25,255,A.palmata,Puerto Rico
a550962-4368120-060520-255_E05.CEL,14.19,255,A.palmata,Puerto Rico
a550962-4368120-060520-255_E07.CEL,13.94,255,A.palmata,Puerto Rico
a550962-4368120-060520-255_E09.CEL,14.6,255,A.palmata,Puerto Rico
a550962-4368120-060520-255_E11.CEL,15.67,255,A.palmata,Puerto Rico
a550962-4368120-060520-255_E13.CEL,12.66,255,A.cervicornis,Puerto Rico
a550962-4368120-060520-255_E15.CEL,11.94,255,A.cervicornis,Puerto Rico
a550962-4368120-060520-255_E17.CEL,14.64,255,A.palmata,Puerto Rico
a550962-4368120-060520-255_E19.CEL,13.18,255,A.palmata,Puerto Rico
a550962-4368120-060520-255_E21.CEL,13.37,255,A.cervicornis,Puerto Rico
a550962-4368120-060520-255_E23.CEL,12.65,255,A.cervicornis,Puerto Rico
a550962-4368120-060520-255_G01.CEL,14.71,255,A.palmata,Puerto Rico
a550962-4368120-060520-255_G03.CEL,13.62,255,A.palmata,Puerto Rico
a550962-4368120-060520-255_G05.CEL,14.73,255,A.palmata,Puerto Rico
a550962-4368120-060520-255_G07.CEL,14.87,255,A.palmata,Puerto Rico
a550962-4368120-060520-255_G09.CEL,13.89,255,A.palmata,Puerto Rico
